,tipo_titulo,codigo_selic,index,tipo_correcao,data_validade,vna,data_referencia
3,LFT,210100,9.15,O,2022-01-26,11307.189717,2022-01-27
0,NTN-B,760199,0.55,P,2022-01-27,3799.310799,2022-01-28
1,NTN-B,760100,0.55,P,2022-01-27,3799.310799,2022-01-28
2,NTN-C,770100,1.82,F,2022-01-28,6090.384083,2022-01-28
3,LFT,210100,9.15,O,2022-01-27,11311.118852,2022-01-28
0,NTN-B,760199,0.55,P,2022-01-27,3800.30326,2022-01-31
1,NTN-B,760100,0.55,P,2022-01-27,3800.30326,2022-01-31
2,NTN-C,770100,1.82,F,2022-01-28,6095.610218,2022-01-31
3,LFT,210100,9.15,O,2022-01-28,11315.049353,2022-01-31
0,NTN-B,760100,0.55,P,2022-01-27,3801.29598,2022-02-01
1,NTN-B,760199,0.55,P,2022-01-27,3801.29598,2022-02-01
2,NTN-C,770100,1.82,F,2022-01-28,6100.840839,2022-02-01
3,LFT,210100,9.15,O,2022-01-31,11318.98122,2022-02-01
0,NTN-B,760199,0.55,P,2022-01-27,3802.288959,2022-02-02
1,NTN-B,760100,0.55,P,2022-01-27,3802.288959,2022-02-02
2,NTN-C,770100,1.03,P,2022-02-02,6104.132107,2022-02-02
3,LFT,210100,9.15,O,2022-02-01,11322.914452,2022-02-02
0,NTN-B,760100,0.55,P,2022-01-27,3803.282198,2022-02-03
1,NTN-B,760199,0.55,P,2022-01-27,3803.282198,2022-02-03
2,NTN-C,770100,1.03,P,2022-02-02,6107.425152,2022-02-03
3,LFT,210100,9.15,O,2022-02-02,11326.849052,2022-02-03
0,NTN-B,760100,0.55,P,2022-01-27,3804.275696,2022-02-04
1,NTN-B,760199,0.55,P,2022-01-27,3804.275696,2022-02-04
2,NTN-C,770100,1.03,P,2022-02-02,6110.719973,2022-02-04
3,LFT,210100,10.65,O,2022-02-03,11331.398821,2022-02-04
0,NTN-B,760199,0.55,P,2022-01-27,3805.269454,2022-02-07
1,NTN-B,760100,0.55,P,2022-01-27,3805.269454,2022-02-07
2,NTN-C,770100,1.03,P,2022-02-02,6114.016571,2022-02-07
3,LFT,210100,10.65,O,2022-02-04,11335.950417,2022-02-07
0,NTN-B,760100,0.55,P,2022-01-27,3806.263471,2022-02-08
1,NTN-B,760199,0.55,P,2022-01-27,3806.263471,2022-02-08
2,NTN-C,770100,1.03,P,2022-02-02,6117.314948,2022-02-08
