,grupo_indexador,b1,b2,b3,b4,l1,l2,data_referencia
0,IPCA,0.0571181888,-0.0361495367,0.1162002313,-0.034207334,3.8055725783,0.7564893734,2022-02-02
1,PREFIXADOS,0.1167820199,-0.0196699692,0.1145537827,-0.0816214353,1.8278711401,0.8593935974,2022-02-02
0,IPCA,0.0575934117,-0.0202771352,0.092549613,-0.0428141749,3.4354042986,0.7736330731,2022-02-03
1,PREFIXADOS,0.1197771016,-0.0204624353,0.0966532522,-0.0825646731,1.8189589923,0.7985452126,2022-02-03
0,IPCA,0.0577937778,-0.0198686927,0.0902800533,-0.0425389722,3.2049047489,0.83338507,2022-02-04
1,PREFIXADOS,0.1238909874,-0.0244241041,0.0974529301,-0.0883793783,1.8073779164,0.8203757387,2022-02-04
0,IPCA,0.0576539112,-0.0203226579,0.0941394181,-0.044699303,3.1924444065,0.8538410202,2022-02-07
1,PREFIXADOS,0.1239180042,-0.0234147031,0.1230222427,-0.1168216991,1.6347479585,0.8705791938,2022-02-07
0,IPCA,0.0581874349,-0.0204499698,0.0932117772,-0.0437549319,3.1143862442,0.8421337788,2022-02-08
1,PREFIXADOS,0.1280973762,-0.0285017685,0.0989084876,-0.0990550011,1.779896272,0.7409747261,2022-02-08
0,IPCA,0.0582921487,-0.0170341916,0.095329697,-0.0422941147,3.0877351889,0.8335115541,2022-02-09
1,PREFIXADOS,0.1248571545,-0.0258395622,0.1120425956,-0.0982509861,1.690089121,0.7472497683,2022-02-09
0,IPCA,0.0585702209,-0.0180399655,0.0925786622,-0.0405484906,3.1068150126,0.8242615263,2022-02-10
1,PREFIXADOS,0.1251208799,-0.0257506636,0.1014843166,-0.0856646944,1.7444176363,0.7054795438,2022-02-10
0,IPCA,0.0585001847,-0.0200563776,0.088825052,-0.0335787163,3.3268999303,0.7732177255,2022-02-11
1,PREFIXADOS,0.1255249685,-0.025927879,0.1257485254,-0.1052399704,1.5580398588,0.7392378699,2022-02-11
0,IPCA,0.0586128523,-0.0192592874,0.0798684367,-0.031984937,3.3134922228,0.7139505528,2022-02-14
1,PREFIXADOS,0.1264719482,-0.0263636715,0.1043978218,-0.0883997645,1.6534229708,0.6617337829,2022-02-14
0,IPCA,0.058847541,-0.0323284847,0.093022448,-0.0335951732,3.779651314,0.6861351596,2022-02-15
1,PREFIXADOS,0.1263774754,-0.025888293,0.1015116665,-0.0910977741,1.6665428129,0.649658884,2022-02-15
0,IPCA,0.0586951533,-0.0742297026,0.1411840891,-0.0295869141,4.6940630161,0.6412196535,2022-02-16
1,PREFIXADOS,0.1247918595,-0.023695651,0.0974047087,-0.0837992113,1.6576275352,0.6330000047,2022-02-16
0,IPCA,0.059000681,-0.0762015958,0.1436169531,-0.0281294418,4.8687982585,0.6541401658,2022-02-17
1,PREFIXADOS,0.1246322769,-0.0232167319,0.1081287217,-0.0903353798,1.5867365917,0.7014996033,2022-02-17
0,IPCA,0.0590819089,-0.0781260461,0.1501580654,-0.0277200451,5.1676644934,0.6702977643,2022-02-18
1,PREFIXADOS,0.1242672199,-0.0214223328,0.1647956229,-0.1466023216,1.3593010691,0.8332862601,2022-02-18
0,IPCA,0.0590378128,-0.0764153755,0.1496203046,-0.0283239919,4.9799863232,0.6801614369,2022-02-21
1,PREFIXADOS,0.1249634851,-0.0226691946,0.0981141291,-0.0868776431,1.6449698312,0.6488059391,2022-02-21
0,IPCA,0.0592212622,-0.076911421,0.1486023924,-0.0256265797,5.1171478991,0.6663498491,2022-02-22
1,PREFIXADOS,0.1238957901,-0.0217667524,0.1034145135,-0.0858085191,1.6580166681,0.6932867805,2022-02-22
0,IPCA,0.0588118507,-0.0765518526,0.1498532535,-0.0266742099,5.1246089444,0.7667921564,2022-02-23
1,PREFIXADOS,0.1238080211,-0.0209072748,0.1010690999,-0.0880712958,1.692743854,0.70266253,2022-02-23
0,IPCA,0.0587986097,-0.081306165,0.1490594451,-0.0237695359,5.1312058946,0.7646456446,2022-02-24
1,PREFIXADOS,0.1251348672,-0.0214679146,0.1024573088,-0.0902720906,1.6448706352,0.698404888,2022-02-24
0,IPCA,0.0585946177,-0.0830636299,0.1534896821,-0.0239294848,5.3709735402,0.8370699999,2022-02-25
